Device Time, G(x), G(y), G(z), G(calibrated),
27-2-2014 17:45:46.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:47.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:48.698,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:49.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:50.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:51.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:52.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:53.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:54.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:55.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:56.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:57.703,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:58.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:45:59.700,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:00.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:01.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:02.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:03.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:04.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:05.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:06.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:07.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:08.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:09.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:10.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:11.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:12.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:13.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:14.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:15.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:16.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:17.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:18.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:19.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:20.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:21.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:22.697,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:23.694,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:24.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:25.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:26.699,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:27.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:28.698,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:29.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:30.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:31.696,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:32.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:33.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:34.695,8.25,0.19,6.17999983,0.06994313,
27-2-2014 17:46:35.695,8.25,0.19,6.17999983,0.06994313,
Device Time, G(x), G(y), G(z), G(calibrated),
28-3-2014 12:31:04.146,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:05.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:06.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:07.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:08.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:09.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:10.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:11.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:12.156,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:13.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:14.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:15.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:16.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:17.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:18.146,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:19.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:20.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:21.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:22.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:23.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:24.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:25.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:26.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:27.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:28.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:29.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:30.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:31.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:32.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:33.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:34.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:35.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:36.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:37.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:38.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:39.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:40.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:41.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:42.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:43.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:44.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:45.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:46.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:47.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:48.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:49.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:50.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:51.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:52.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:53.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:54.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:55.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:56.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:57.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:58.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:31:59.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:00.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:01.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:02.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:03.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:04.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:05.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:06.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:07.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:08.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:09.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:10.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:11.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:12.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:13.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:14.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:15.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:16.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:17.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:18.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:19.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:20.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:21.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:22.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:23.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:24.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:25.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:26.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:27.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:28.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:29.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:30.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:31.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:32.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:33.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:34.144,0.04,7.67000008,6.3499999,0.0340417,
